Amenity,Type,Latitude,Longitude
Marsiling Primary School,School,1.43383904,103.773643
Marsiling Secondary School,School,1.436644248,103.7760081
Marymount Convent School,School,1.34036677,103.8400211
Mayflower Primary School,School,1.376146217,103.8358052
Mayflower Secondary School,School,1.368272662,103.8353607
Mee Toh School,School,1.394618454,103.9085895
Meridian Primary School,School,1.375528317,103.9348891
Meridian Secondary School,School,1.367246849,103.9489725
Methodist Girls' School (Primary),School,1.349472763,103.8849713
Methodist Girls' School (Secondary),School,1.350967559,103.8851201
Millennia Institute,School,1.350319392,103.7415936
Montfort Junior School,School,1.373824441,103.8893078
Montfort Secondary School,School,1.373961317,103.8889284
Nan Chiau High School,School,1.388795825,103.8900044
Nan Chiau Primary School,School,1.392211499,103.8911809
Nan Hua High School,School,1.308095295,103.7685614
Nan Hua Primary School,School,1.3192016,103.7610951
Nanyang Girls' High School,School,1.330583267,103.802421
Nanyang Junior College,School,1.350283149,103.8664987
Nanyang Primary School,School,1.320847499,103.8077502
National Junior College,School,1.330292911,103.8041109
Naval Base Primary School,School,1.416306632,103.8387941
Naval Base Secondary School,School,1.419378816,103.8310504
New Town Primary School,School,1.299641882,103.8001022
New Town Secondary School,School,1.3097759,103.7731886
Ngee Ann Primary School,School,1.305525059,103.917463
Ngee Ann Secondary School,School,1.354475258,103.9567473
North Spring Primary School,School,1.387061465,103.9032027
North View Primary School,School,1.427523265,103.848255
North Vista Primary School,School,1.38282243,103.8959619
North Vista Secondary School,School,1.381131285,103.8991888
Northbrooks Secondary School,School,1.42081285,103.8451473
Northland Primary School,School,1.420969899,103.8409284
Northland Secondary School,School,1.435801834,103.8401047
Northlight School,School,1.319100216,103.8557596
Northoaks Primary School,School,1.456623796,103.8136885
Northshore Primary School,School,1.418138033,103.9044169
Nus High School Of Mathematics And Science,School,1.306564481,103.7693652
Oasis Primary School,School,1.404624132,103.9111206
Opera Estate Primary School,School,1.319319144,103.9237883
Orchid Park Secondary School,School,1.415320328,103.8378592
Outram Secondary School,School,1.286513575,103.8371273
Palm View Primary School,School,1.38376923,103.8913547
Park View Primary School,School,1.377380699,103.9395417
Pasir Ris Crest Secondary School,School,1.372840601,103.9597282
Pasir Ris Primary School,School,1.372418702,103.9628072
Pasir Ris Secondary School,School,1.372840601,103.9597282
Paya Lebar Methodist Girls' School (Primary),School,1.349472763,103.8849713
Paya Lebar Methodist Girls' School (Secondary),School,1.350967559,103.8851201
Pei Chun Public School,School,1.337373587,103.8555856
Pei Hwa Presbyterian Primary School,School,1.338056346,103.7761064
Pei Hwa Secondary School,School,1.39037505,103.8784617
Pei Tong Primary School,School,1.316665293,103.767439
Peicai Secondary School,School,1.359515832,103.8700107
Peirce Secondary School,School,1.366659447,103.8302161
Peiying Primary School,School,1.417233397,103.8304171
Ping Yi Secondary School,School,1.327016728,103.9207007
Pioneer Primary School,School,1.339022647,103.6877696
Poi Ching School,School,1.357651223,103.9352465
Presbyterian High School,School,1.382011943,103.8431494
Princess Elizabeth Primary School,School,1.349203513,103.7410196
Punggol Cove Primary School,School,1.411599233,103.8988039
Punggol Green Primary School,School,1.401872206,103.8988013
Punggol Primary School,School,1.405145826,103.9051564
Punggol Secondary School,School,1.402057384,103.9092137
Punggol View Primary School,School,1.405145826,103.9051564
Qifa Primary School,School,1.313265833,103.7566291
Qihua Primary School,School,1.442035966,103.7883398
Queenstown Primary School,School,1.29559365,103.8075486
Queenstown Secondary School,School,1.293521268,103.813191
Queensway Secondary School,School,1.300222716,103.8022073
Radin Mas Primary School,School,1.274958236,103.8241883
Raffles Girls' Primary School,School,1.32940426,103.8064429
Raffles Girls' School (Secondary),School,1.342174799,103.843134
Raffles Institution,School,1.346106991,103.8442387
Red Swastika School,School,1.333242978,103.9343323
Regent Secondary School,School,1.393279083,103.7510344
River Valley High School,School,1.344078011,103.7090222
River Valley Primary School,School,1.294223285,103.8358152
Riverside Primary School,School,1.447004265,103.801889
Riverside Secondary School,School,1.441101571,103.7883082
Rivervale Primary School,School,1.393409978,103.9045595
Rosyth School,School,1.372890675,103.8750015
Rulang Primary School,School,1.346738689,103.718458
"School Of Science And Technology, Singapore",School,1.312928106,103.7740115
"School Of The Arts, Singapore",School,1.2993648,103.8486874
Sembawang Primary School,School,1.445073716,103.8210424
Sembawang Secondary School,School,1.445315021,103.8168433
Seng Kang Primary School,School,1.389497404,103.8997671
Seng Kang Secondary School,School,1.386596831,103.898365
Sengkang Green Primary School,School,1.392846067,103.8752177
Serangoon Garden Secondary School,School,1.369325705,103.8692703
Serangoon Secondary School,School,1.369325705,103.8692703
Shuqun Primary School,School,1.347653114,103.7215237
Si Ling Primary School,School,1.432409357,103.7860351
Singapore Chinese Girls' Primary School,School,1.320807252,103.8277447
Singapore Chinese Girls' School,School,1.320634084,103.828165
Singapore Sports School,School,1.426411406,103.7894448
South View Primary School,School,1.381666644,103.7462758
Spectra Secondary School,School,1.437037508,103.8041005
Springdale Primary School,School,1.394670103,103.8899262
Springfield Secondary School,School,1.349573035,103.9303545
St. Andrew'S Junior College,School,1.333065157,103.8635764
St. Andrew'S Junior School,School,1.331402553,103.8651171
St. Andrew'S Secondary School,School,1.33069361,103.8662491
St. Anthony'S Canossian Primary School,School,1.334725373,103.9412349
St. Anthony'S Canossian Secondary School,School,1.334663135,103.9419772
St. Anthony'S Primary School,School,1.334725373,103.9412349
St. Gabriel'S Primary School,School,1.349471927,103.862561
St. Gabriel'S Secondary School,School,1.346487987,103.8760942
St. Hilda'S Primary School,School,1.34938565,103.9370071
St. Hilda'S Secondary School,School,1.349739224,103.937608
St. Joseph'S Institution,School,1.317814761,103.8456333
St. Joseph'S Institution Junior,School,1.317814761,103.8456333
St. Margaret'S Primary School,School,1.324391503,103.8816248
St. Margaret'S Secondary School,School,1.320068214,103.8099511
St. Patrick'S School,School,1.307883419,103.9176382
St. Stephen'S School,School,1.318789973,103.9172581
Stamford Primary School,School,1.303456385,103.8574535
Swiss Cottage Secondary School,School,1.364717427,103.7503961
Tampines Meridian Junior College,School,1.376333469,103.9369907
Tampines North Primary School,School,1.360476415,103.9487258
Tampines Primary School,School,1.349778708,103.9440047
Tampines Secondary School,School,1.349260948,103.9442637
Tanglin Secondary School,School,1.309701692,103.7581584
Tanjong Katong Girls' School,School,1.308212746,103.8958201
Tanjong Katong Primary School,School,1.305240843,103.9000927
Tanjong Katong Secondary School,School,1.30873516,103.8972252
Tao Nan School,School,1.294332105,103.8490262
Teck Ghee Primary School,School,1.365587821,103.8509571
Teck Whye Primary School,School,1.383649968,103.7532919
Teck Whye Secondary School,School,1.383334226,103.7551033
Telok Kurau Primary School,School,1.331045854,103.910934
Temasek Junior College,School,1.31849283,103.9355673
Temasek Primary School,School,1.317706776,103.9455907
Temasek Secondary School,School,1.315916732,103.9475641
Townsville Primary School,School,1.360032637,103.853826
Unity Primary School,School,1.402854819,103.7468226
Unity Secondary School,School,1.400015241,103.7460209
Valour Primary School,School,1.406835702,103.8990781
Victoria Junior College,School,1.306701742,103.9199827
Victoria School,School,1.308713027,103.927981
Waterway Primary School,School,1.398828006,103.9186216
Wellington Primary School,School,1.451920192,103.8223037
West Grove Primary School,School,1.344879056,103.6992864
West Spring Primary School,School,1.389441459,103.7661957
West Spring Secondary School,School,1.387822833,103.7601288
West View Primary School,School,1.383785465,103.7602734
Westwood Primary School,School,1.347184566,103.7005342
Westwood Secondary School,School,1.353736985,103.7017721
White Sands Primary School,School,1.365636109,103.9608618
Whitley Secondary School,School,1.355052085,103.8425524
Woodgrove Primary School,School,1.432736207,103.7902303
Woodgrove Secondary School,School,1.428318281,103.7960476
Woodlands Primary School,School,1.436582707,103.7917913
Woodlands Ring Primary School,School,1.434952293,103.7974357
Woodlands Ring Secondary School,School,1.436488947,103.8001485
Woodlands Secondary School,School,1.436488947,103.8001485
Xinghua Primary School,School,1.357908936,103.8904729
Xingnan Primary School,School,1.342547449,103.6879503
Xinmin Primary School,School,1.371395489,103.8830808
Xinmin Secondary School,School,1.372558847,103.8830516
Xishan Primary School,School,1.433471869,103.8377553
Yangzheng Primary School,School,1.348645758,103.8685955
Yew Tee Primary School,School,1.396766009,103.750986
Yio Chu Kang Primary School,School,1.377932643,103.8856437
Yio Chu Kang Secondary School,School,1.377975977,103.842137
Yishun Innova Junior College,School,1.424266926,103.8300317
Yishun Primary School,School,1.43338603,103.8340871
Yishun Secondary School,School,1.428133243,103.8287643
Yishun Town Secondary School,School,1.432321567,103.8380942
Yu Neng Primary School,School,1.333889303,103.9321449
Yuan Ching Secondary School,School,1.342006358,103.7208987
Yuhua Primary School,School,1.342802305,103.7411058
Yuhua Secondary School,School,1.347186269,103.7226872
Yumin Primary School,School,1.351315699,103.9505511
Yusof Ishak Secondary School,School,1.406937025,103.8962751
Yuying Secondary School,School,1.357135953,103.8901948
Zhangde Primary School,School,1.284211533,103.8259519
Zhenghua Primary School,School,1.379548875,103.7693135
Zhenghua Secondary School,School,1.388365834,103.7655106
Zhonghua Primary School,School,1.360203297,103.8697624
Zhonghua Secondary School,School,1.348407208,103.8694305
Bedok North Street 4 Blk 85 (85 Fengshan Centre),Hawker Centres,1.331987,103.9387325
Redhill Lane Blk 85 (Redhill Food Centre),Hawker Centres,1.2873307,103.8183389
Sembawang Hills Food Centre (Jalan Leban Food Centre),Hawker Centres,1.3723849,103.8289942
Serangoon Garden Market,Hawker Centres,1.363157,103.8667374
Shunfu Road Blk 320 (Shunfu Mart),Hawker Centres,1.3520074,103.8370318
Sims Place Blk 49 (Sims Vista Market and Food Centre),Hawker Centres,1.3170833,103.879417
Smith Street Blk 335 (Chinatown Complex Market),Hawker Centres,1.2822351,103.8431776
Taman Jurong Market and Food Centre,Hawker Centres,1.3345893,103.7215198
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),Hawker Centres,1.345639,103.9446244
Tanglin Halt Market,Hawker Centres,1.3007893,103.7976257
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),Hawker Centres,1.2766146,103.8431669
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),Hawker Centres,1.3208483,103.7428916
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),Hawker Centres,1.2773668,103.8186416
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),Hawker Centres,1.2733682,103.8076268
Telok Blangah Drive Blk 82 (Telok Blangah Market),Hawker Centres,1.2739137,103.8079435
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),Hawker Centres,1.2727157,103.8221172
Tiong Bahru Market,Hawker Centres,1.2850882,103.8323487
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),Hawker Centres,1.3380926,103.8447316
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),Hawker Centres,1.3345481,103.8519991
Toa Payoh Lorong 4 Blk 93,Hawker Centres,1.338474,103.8495134
Toa Payoh Lorong 5 Blk 75,Hawker Centres,1.3360388,103.8529415
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),Hawker Centres,1.3352314,103.857036
Toa Payoh Lorong 8 Blk 210,Hawker Centres,1.34026,103.8543952
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),Hawker Centres,1.315028,103.8716202
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),Hawker Centres,1.2852464,103.8458188
West Coast Drive Blk 502 (Ayer Rajah Market),Hawker Centres,1.3118897,103.759166
West Coast Drive Blk 503 (Ayer Rajah Food Centre),Hawker Centres,1.311803,103.7597513
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),Hawker Centres,1.322943,103.8551376
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),Hawker Centres,1.3234217,103.854068
Yishun Park Hawker Centre,Hawker Centres,1.4250176,103.8447475
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),Hawker Centres,1.4314476,103.8285376
Zion Riverside Food Centre,Hawker Centres,1.2923421,103.8311893
Margaret Drive Hawker Centre,Hawker Centres,1.2974856,103.8047152
Woodleigh Village Hawker Centre,Hawker Centres,1.339796,103.8720902
Anchorvale Village Hawker Centre,Hawker Centres,1.3969141,103.8884896
Fernvale Hawker Centre & Market,Hawker Centres,1.3915923,103.8770604
Punggol Town Hub Hawker Centre,Hawker Centres,1.4081899,103.9048056
Punggol Digital District Hawker Centre,Hawker Centres,1.4145668,103.9082528
Senja Hawker Centre,Hawker Centres,1.3871222,103.7612628
Bukit Batok Hawker Centre,Hawker Centres,1.3552145,103.7418258
Market Street Hawker Centre,Hawker Centres,1.284424,103.8501645
Buangkok Hawker Centre,Hawker Centres,1.3823875,103.8924032
Bedok Reservoir Road Blk 630,Hawker Centres,1.3331592,103.9140538
Bedok South Road Blk 16,Hawker Centres,1.3205521,103.935539
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),Hawker Centres,1.3192169,103.8630213
Beo Crescent Market,Hawker Centres,1.2888221,103.827358
Berseh Food Centre,Hawker Centres,1.3073365,103.8568539
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),Hawker Centres,1.345223,103.7127997
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Hawker Centres,1.3062058,103.8505309
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),Hawker Centres,1.2836925,103.8169923
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Hawker Centres,1.2862977,103.8044892
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),Hawker Centres,1.2855047,103.8220493
Bukit Panjang Hawker Centre,Hawker Centres,1.3776005,103.7724895
Bukit Canberra Hawker Centre,Hawker Centres,1.4492166,103.8223992
Market Street Interim Hawker Centre,Hawker Centres,1.2815956,103.8489737
Marsiling Lane Blk 20/21,Hawker Centres,1.4438818,103.7772031
Marsiling Mall Hawker Centre,Hawker Centres,1.4335388,103.7797848
Maxwell Food Centre (Kim Hua Market),Hawker Centres,1.2801122,103.8448278
Mei Chin Road Blk 159 (Mei Chin Road Market),Hawker Centres,1.2932362,103.8029039
New Market Road Blk 32 (People's Park Food Centre),Hawker Centres,1.284991,103.8425787
New Upper Changi Road Blk 208B,Hawker Centres,1.3247388,103.9305604
New Upper Changi Road Blk 58,Hawker Centres,1.3241878,103.9411323
Newton Food Centre,Hawker Centres,1.3118923,103.8395626
North Bridge Road Market,Hawker Centres,1.3057653,103.863891
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),Hawker Centres,1.3082515,103.8858332
Our Tampines Hub,Hawker Centres,1.3538621,103.9397261
Pasir Panjang Food Centre,Hawker Centres,1.2759075,103.7914026
Pasir Ris Central Hawker Centre,Hawker Centres,1.3734341,103.951543
Queen Street Blk 270 (Albert Centre),Hawker Centres,1.3010014,103.8542116
Adam Road Food Centre,Hawker Centres,1.3241342,103.814165
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),Hawker Centres,1.3206482,103.887019
Amoy Street Food Centre (Telok Ayer Food Centre),Hawker Centres,1.2792184,103.8466067
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),Hawker Centres,1.3667876,103.8392313
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),Hawker Centres,1.3641051,103.8482542
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),Hawker Centres,1.3627689,103.8553697
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),Hawker Centres,1.3682404,103.8563514
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),Hawker Centres,1.3727699,103.8544828
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),Hawker Centres,1.3744891,103.8392142
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),Hawker Centres,1.3810248,103.8406823
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),Hawker Centres,1.3721974,103.8465192
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),Hawker Centres,1.3672301,103.8399531
Bedok Food Centre,Hawker Centres,1.320356,103.9554741
Bedok North Street 1 Blk 216,Hawker Centres,1.3270624,103.9332215
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),Hawker Centres,1.3332462,103.9306021
Bedok North Street 3 Blk 538,Hawker Centres,1.3317812,103.9248442
Redhill Lane Blk 79 (Redhill Market),Hawker Centres,1.287858,103.8184026
Bukit Timah Market,Hawker Centres,1.3393759,103.775995
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),Hawker Centres,1.3161599,103.850225
Changi Village Blk 2 and 3,Hawker Centres,1.3891517,103.9882457
Chomp Chomp Food Centre,Hawker Centres,1.3642285,103.8665361
Ci Yuan Hawker Centre,Hawker Centres,1.3754289,103.8829779
Circuit Road Blk 79/79A,Hawker Centres,1.3264499,103.8850435
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),Hawker Centres,1.3278495,103.8871285
Circuit Road Blk 89,Hawker Centres,1.3234452,103.8854492
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),Hawker Centres,1.3143677,103.7708367
Clementi Ave 3 Blk 448,Hawker Centres,1.3132648,103.7645105
Clementi West Street 2 Blk 726,Hawker Centres,1.303781,103.7642644
Commonwealth Crescent Market,Hawker Centres,1.306892,103.8003628
Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),Hawker Centres,1.2997133,103.7978754
Dunman Food Centre,Hawker Centres,1.3094141,103.9018251
East Coast Lagoon Food Village,Hawker Centres,1.3066843,103.9350167
Empress Road Blk 7 (Empress Road Market and Food Centre),Hawker Centres,1.3162457,103.8056363
Eunos Crescent Blk 4A,Hawker Centres,1.3203317,103.9042608
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),Hawker Centres,1.3214622,103.8700044
Geylang Serai Market,Hawker Centres,1.316728,103.8982243
Ghim Moh Road Blk 20,Hawker Centres,1.3109962,103.7882306
Golden Mile Food Centre,Hawker Centres,1.3028754,103.8638832
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),Hawker Centres,1.315142,103.8956094
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Hawker Centres,1.2879754,103.8296268
Holland Drive Blk 44 (Holland Drive Market and Food Centre),Hawker Centres,1.3081177,103.7927737
Holland Village Market and Food Centre,Hawker Centres,1.310908,103.7948629
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),Hawker Centres,1.3538373,103.890081
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),Hawker Centres,1.3591194,103.8859776
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),Hawker Centres,1.3024188,103.8839405
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),Hawker Centres,1.2800048,103.8260132
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),Hawker Centres,1.2869527,103.8081279
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),Hawker Centres,1.2882305,103.8399459
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),Hawker Centres,1.3453124,103.7315797
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),Hawker Centres,1.3434421,103.7377812
Jurong West Hawker Centre,Hawker Centres,1.341259,103.6974042
Jurong West Street 52 Blk 505,Hawker Centres,1.3496422,103.7184475
Kallang Estate Fresh Market and Food Centre,Hawker Centres,1.3073961,103.8841301
Kampung Admiralty Hawker Centre,Hawker Centres,1.4399328,103.8006964
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Hawker Centres,1.3022851,103.9063385
Marine Terrace Blk 50A (50A Marine Terrace),Hawker Centres,1.3057751,103.9157619
Li Li Cheng Supermarket (Punggol) Pte. Ltd.,Supermarket,1.402303,103.9012623
Sheng Siong Supermarket Pte Ltd,Supermarket,1.3142393,103.870914
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.373321,103.8863655
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3329587,103.9149418
Yes Supermarket Pte Ltd,Supermarket,1.3534531,103.9530099
Suzyameer Frozen Pte. Ltd.,Supermarket,1.3522623,103.9535864
G8 Mart Pte. Ltd.,Supermarket,1.3653842,103.8529669
Sheng Siong Supermarket Pte Ltd,Supermarket,1.3675492,103.8367406
Prime Supermarket (1996) Pte Ltd,Supermarket,1.3537029,103.8906807
Tan Kwee Eng,Supermarket,1.430071,103.8423964
Sheng Siong Supermarket Pte Ltd,Supermarket,1.370188,103.8434132
Kai Soon Supermarket Pte. Ltd.,Supermarket,1.4221386,103.8328826
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3232504,103.76726
The Fishwives Pte. Ltd.,Supermarket,1.3225731,103.8142455
Prime Supermarket Limited,Supermarket,1.3342924,103.8787462
Abedin Trading Pte. Ltd.,Supermarket,1.3142065,103.8866997
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3022217,103.8761526
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.320211,103.8436567
Song Fish Dealer Pte Ltd,Supermarket,1.3783497,103.7627411
The Seafood Market Place (By Song Fish) Pte. Ltd.,Supermarket,1.439916,103.8007012
Sheng Siong Supermarket Pte Ltd,Supermarket,1.3077851,103.8570109
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3048434,103.8238527
Bluewater Seafood Pte. Ltd.,Supermarket,1.3034459,103.8093816
Wons Butchery Pte. Ltd.,Supermarket,1.3057097,103.8244638
Little Farms Pte. Ltd.,Supermarket,1.3106435,103.7952461
B & S Mini Mart Pte. Ltd.,Supermarket,1.312451,103.8796223
"Chee Min Kuan, Simon",Supermarket,1.3037337,103.8964982
Jsj Corporation Pte. Ltd.,Supermarket,1.318452,103.9858694
U Stars Pte. Ltd.,Supermarket,1.3786023,103.9419781
Lotte Mart Pte. Ltd.,Supermarket,1.3408266,103.7742132
Ajmal Trading Group Pte. Ltd.,Supermarket,1.3221083,103.7274807
Murugan Traders Pte Ltd,Supermarket,1.3249198,103.7050997
Sheng Siong Supermarket Pte Ltd,Supermarket,1.355723,103.7393031
Sheng Siong Supermarket Pte Ltd,Supermarket,1.4468041,103.8054875
Ajmal Trading Group Pte. Ltd.,Supermarket,1.4615255,103.8094389
Sheng Siong Supermarket Pte Ltd,Supermarket,1.4201555,103.8435588
Phan Nee Trading Llp,Supermarket,1.444341,103.8390302
Hao Mart Pte. Ltd.,Supermarket,1.3999042,103.9193527
The Seafood Market Place (By Song Fish) Pte. Ltd.,Supermarket,1.4028784,103.9131957
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3726456,103.8538907
Pan Pacific International Holdings Pte. Ltd.,Supermarket,1.2745882,103.8434707
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3098222,103.9022324
Sheng Siong Supermarket Pte Ltd,Supermarket,1.4026219,103.9165196
Viva Corp Services Pte. Ltd.,Supermarket,1.3373386,103.903735
Swiss Butchery (2013) Private Limited,Supermarket,1.331761,103.8065868
Roswell Enterprise Pte Ltd,Supermarket,1.3318324,103.8064924
T S J Industrial (S) Pte. Ltd.,Supermarket,1.3368309,103.7543414
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3011913,103.9051135
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3097424,103.8641016
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3146921,103.8944805
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3035826,103.7652845
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3068488,103.7882145
Foodie Market Place Pte. Ltd.,Supermarket,1.2834507,103.8353713
Mustafa Holdings Pte Ltd,Supermarket,1.3097527,103.8557015
Supernature Pte Ltd,Supermarket,1.3061957,103.828509
Huber'S Pte. Ltd.,Supermarket,1.3067924,103.8101858
Meat The Butcher Pte. Ltd.,Supermarket,1.3243735,103.8093579
Yeo Keng Guan,Supermarket,1.3166189,103.7789472
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3175619,103.7858406
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3314914,103.8068092
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.4357608,103.8367238
Chd @ Soon Lee Pte. Ltd.,Supermarket,1.3321229,103.6990702
Sheng Siong Supermarket Pte Ltd,Supermarket,1.325468,103.7252215
Md Sydur Rahman,Supermarket,1.2950136,103.6267292
7Seven Pte. Ltd.,Supermarket,1.4560597,103.7864369
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.299294,103.787404
Sheng Siong Supermarket Pte Ltd,Supermarket,1.448864,103.8323928
U Stars Pte. Ltd.,Supermarket,1.4406299,103.806198
Sheng Siong Supermarket Pte Ltd,Supermarket,1.3992285,103.8896539
Sheng Siong Supermarket Pte Ltd,Supermarket,1.391587,103.8798724
Bhandari International Pte. Ltd.,Supermarket,1.451325,103.7910951
Sheng Siong Supermarket Pte Ltd,Supermarket,1.4335125,103.7797468
Wan Siew Yoong,Supermarket,1.2818006,103.8429081
Hao Mart Pte. Ltd.,Supermarket,1.328211,103.8598125
Mcp Fairmart Pte Ltd,Supermarket,1.3592594,103.7506946
Hao Mart Pte. Ltd.,Supermarket,1.2778487,103.8308114
Pan Pacific International Holdings Pte. Ltd.,Supermarket,1.300838,103.8394347
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3186757,103.8925506
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.288614,103.8050099
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.4296984,103.8357764
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3594966,103.8850799
Sheng Siong Supermarket Pte Ltd,Supermarket,1.302464,103.7637509
Prime Supermarket Limited,Supermarket,1.308365,103.8609127
Prime Supermarket Limited,Supermarket,1.3487328,103.9340102
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3492241,103.9349125
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.4360078,103.7856887
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.43084,103.7934163
Lin Poh Ling,Supermarket,1.3406429,103.8543344
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3506755,103.8718616
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3001424,103.8557869
Nawas Global Pte. Ltd.,Supermarket,1.2716422,103.6335122
Sadia Minimart Pte Ltd,Supermarket,1.4085299,103.7594061
Meidi-Ya Singapore Co (Pte) Ltd,Supermarket,1.2915147,103.8445862
Iroha International Pte. Ltd.,Supermarket,1.3007475,103.8450476
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.2922595,103.842561
Little Farms Pte. Ltd.,Supermarket,1.2930178,103.8269408
Sheng Siong Supermarket Pte Ltd,Supermarket,1.3221363,103.7382928
Phan Nee Investments (S) Pte Ltd,Supermarket,1.3776108,103.7184037
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3317758,103.9462012
Raw Market Pte. Ltd.,Supermarket,1.3755883,103.9608397
The Butcher (Singapore) Pte. Ltd.,Supermarket,1.311921,103.796844
Hao Mart Pte. Ltd.,Supermarket,1.4335951,103.8396853
Seoul Butchery Pte. Ltd.,Supermarket,1.3420749,103.7746327
V Suresh Kumar,Supermarket,1.4598281,103.8200734
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3389946,103.7931338
Hao Mart Pte. Ltd.,Supermarket,1.313175,103.8836466
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3037232,103.8352403
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.2773723,103.8528448
Cold Storage Singapore (1983) Pte Ltd,Supermarket,1.3007475,103.8450476
